,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,,acc_gold_max,acc_gold_min,acc_train_max,acc_train_min,attention,attention_activation,attention_context,attention_dropout,attention_heads,attention_layers,base,batch_eval,batch_train,clip_norm,embed_dim,embed_dropout,embed_finetune,embed_noise,embeddings_file,encoder_bidirectional,encoder_dropout,encoder_layers,encoder_size,epochs,f1_gold_max,f1_gold_min,f1_train_max,f1_train_min,name,patience,precision_gold_max,precision_gold_min,precision_train_max,precision_train_min,recall_gold_max,recall_gold_min,recall_train_max,recall_train_min,recurrent_steps,token_type,weight_decay
1,0.0,0.765625,0.671875,0.9561449579831933,0.657563025210084,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.2,False,0.3,glove.twitter.27B.200d,True,0.2,2,200,50,0.7630539710399298,0.665452724139938,0.9561444468696156,0.6568952174585977,TASK3_A,10,0.7659014614628192,0.6645117208031115,0.956147493953357,0.6584361316930036,0.7782816991376558,0.6668064121877043,0.9561425866940527,0.6573494475762982,5,word,0.0
2,0.0,0.765625,0.671875,0.9561449579831932,0.657563025210084,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.2,False,0.3,glove.twitter.27B.200d,True,0.2,2,200,50,0.7630539710399298,0.665452724139938,0.9561444468696156,0.6568952174585977,TASK3_A,10,0.7659014614628192,0.6645117208031115,0.9561474939533571,0.6584361316930036,0.7782816991376558,0.6668064121877043,0.9561425866940528,0.6573494475762982,5,word,0.0
3,0.0,0.7513020833333334,0.6692708333333334,0.9750525210084032,0.6678046218487395,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.2,False,0.3,glove.twitter.27B.200d,True,0.2,2,200,50,0.7445345603179385,0.6642409137538124,0.9750504133240836,0.6677136724795206,TASK3_A,10,0.7461756993006994,0.6653260869565217,0.9751282407836592,0.6680183684521723,0.7558501011391461,0.6721415839062899,0.9750319088748188,0.6678227369875196,7,word,0.0
4,0.0,0.7604166666666666,0.62890625,0.7993697478991597,0.6436449579831933,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.4,False,0.3,glove.twitter.27B.200d,True,0.4,2,200,50,0.7531889317187314,0.626228869926349,0.7989304162364419,0.6369342229307773,TASK3_A,10,0.7534029176585485,0.6575727513227513,0.8113901740471471,0.6440352182539683,0.7640026284737188,0.6504650635208711,0.7992525083505945,0.6435387666278547,5,word,0.0
5,0.0,0.75,0.6341145833333334,0.8537289915966386,0.6197478991596639,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.4,False,0.3,glove.twitter.27B.200d,True,0.4,2,200,50,0.7432146427217262,0.6110551405322111,0.8535712113552285,0.6152440283801964,TASK3_A,10,0.7429008463917877,0.6145122625852848,0.8580343698628244,0.6248404834574957,0.7530149063484757,0.609816653934301,0.8536637978594284,0.6192503175743801,7,word,0.0
6,0.0,0.7604166666666666,0.5598958333333334,0.8760504201680672,0.5995273109243697,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.3,False,0.4,glove.twitter.27B.200d,True,0.4,2,200,50,0.7514335770121088,0.5548207854570399,0.8757475707751952,0.5958138981637833,TASK3_A,10,0.749895178197065,0.5593549087160568,0.8794930054352669,0.6035477186032864,0.7535163339382941,0.5620462794918331,0.8759505682445107,0.5996798251796379,5,word,0.0
7,0.0,0.74609375,0.59765625,0.7670693277310925,0.618172268907563,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.3,False,0.4,glove.twitter.27B.200d,True,0.4,2,200,50,0.7308096740273397,0.5974590143078867,0.7663655499138387,0.6025054474989748,TASK3_A,10,0.7350654380439469,0.6358201886998652,0.7702662088868986,0.6414602775037017,0.7280512704174229,0.6327777777777778,0.7669574092463864,0.6188040317998003,7,word,0.0
8,0.0,0.75,0.6002604166666666,0.9283088235294118,0.6415441176470589,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.2,False,0.3,glove.twitter.27B.200d,True,0.2,4,200,50,0.7318123617739494,0.5955363805570089,0.9282622759412356,0.6414194626962539,TASK3_A,10,0.7404028658239243,0.6492064255152569,0.929148300041882,0.6416296651402127,0.7330949261763977,0.6538469709308501,0.9282181822996662,0.6414771022015077,5,word,0.0
9,0.0,0.7552083333333334,0.5716145833333334,0.8524159663865546,0.6066176470588235,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.2,False,0.3,glove.twitter.27B.200d,True,0.2,4,200,50,0.7482142857142856,0.5617890422980268,0.8515211171091349,0.5719295970645832,TASK3_A,10,0.7460894143600703,0.6446509171228272,0.8662247022971963,0.6606740021177662,0.7527812201253408,0.6257622811970638,0.8518142550204719,0.6078244443267482,7,word,0.0
10,0.0,0.7421875,0.5833333333333334,0.7599789915966386,0.6121323529411765,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.4,False,0.3,glove.twitter.27B.200d,True,0.4,4,200,50,0.7399014778325124,0.5831524099001302,0.7598388120670144,0.5991618655525559,TASK3_A,10,0.7441437652214616,0.6128112089096461,0.7653205288822928,0.6303058932809089,0.7548489891300498,0.6106986483913954,0.7599004404486746,0.6129963435844459,5,word,0.0
11,0.0,0.7356770833333334,0.5833333333333334,0.8004201680672269,0.6110819327731093,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.4,False,0.3,glove.twitter.27B.200d,True,0.4,4,200,50,0.7263572433192687,0.5831043256997455,0.7997050477177279,0.5961171834576747,TASK3_A,10,0.7358153251016475,0.6192236060994063,0.8046757341735725,0.6313200925023015,0.7460350169115766,0.6164482846829435,0.800232816025687,0.6115916375164785,7,word,0.0
12,0.0,0.7369791666666666,0.62890625,0.804359243697479,0.6273634453781513,True,tanh,False,0.0,20,1,0.7,32,32,1,200,0.3,False,0.4,glove.twitter.27B.200d,True,0.4,4,200,50,0.7316728933167289,0.6284470246734398,0.8040906477136255,0.6239841459017936,TASK3_A,10,0.7390957202512595,0.6472190873150501,0.8059091468737487,0.6326749559859155,0.7433064263991132,0.6510885939232015,0.8043028991172092,0.6277204608780782,5,word,0.0
